1.0000000000	la mise en
1.0000000000	à la fois
1.0000000000	et de la
1.0000000000	de la politique
1.0000000000	de l’action publique
1.0000000000	dans le cadre
1.0000000000	pour la
1.0000000000	a été
1.0000000000	pour les
1.0000000000	comme un
1.0000000000	mais aussi
1.0000000000	par le
1.0000000000	politiques publiques
1.0000000000	par la
1.0000000000	par des
1.0000000000	par les
1.0000000000	permet de
1.0000000000	nous avons
1.0000000000	processus de
1.0000000000	au cours
1.0000000000	politique de
1.0000000000	politique et
1.0000000000	au sein
1.0000000000	ainsi que
1.0000000000	sur les
1.0000000000	sur le
1.0000000000	afin de
1.0000000000	sur une
1.0000000000	sur la
1.0000000000	de ce
1.0000000000	dans les
1.0000000000	le cadre
1.0000000000	de la
1.0000000000	de leur
1.0000000000	de l’action
1.0000000000	dans le
1.0000000000	les acteurs
1.0000000000	de recherche
1.0000000000	les politiques
1.0000000000	le processus
1.0000000000	dans la
1.0000000000	dans un
1.0000000000	dans une
1.0000000000	dans des
1.0000000000	les années
1.0000000000	de ces
1.0000000000	de cette
1.0000000000	de l’état
1.0000000000	de leurs
1.0000000000	ce travail
1.0000000000	et en
1.0000000000	et des
1.0000000000	et de
1.0000000000	et le
1.0000000000	entre les
1.0000000000	et les
1.0000000000	et à
1.0000000000	et la
1.0000000000	une analyse
1.0000000000	à travers
1.0000000000	des années
1.0000000000	des acteurs
1.0000000000	des politiques
1.0000000000	à la
1.0000000000	la construction
1.0000000000	la question
1.0000000000	la politique
1.0000000000	la thèse
1.0000000000	la mise
1.0000000000	la recherche
1.0000000000	la société
1.0000000000	mise en
1.0000000000	en œuvre
1.0000000000	en france
1.0000000000	en tant
1.0000000000	en effet
1.0000000000	à une
1.0000000000	à partir
1.0000000000	à des
1.0000000000	l’action publique
1.0000000000	partir de
1.0000000000	ces deux
1.0000000000	que la
1.0000000000	que le
1.0000000000	cette recherche
1.0000000000	cette thèse
1.0000000000	que les
0.6418897853	œuvre
0.6240838679	états
0.6096464114	parti
0.6078188820	l’état
0.6068455719	nord
0.6034890232	partis
0.6029833781	cours
0.5999060823	droit
0.5909770155	france
0.5873293120	société
0.5848637922	l’action
0.5827541492	région
0.5669493475	faire
0.5653699755	publiques
0.5652890221	question
0.5566425145	gouvernement
0.5555188891	effet
0.5549029469	nouvelle
0.5536184240	sein
0.5439346109	cadre
0.5438999139	développement
0.5429749469	fois
0.5386474722	mise
0.5374927414	européenne
0.5366950913	partir
0.5364645854	construction
0.5358152411	1990
0.5330872531	travers
0.5289406441	années
0.5274130461	lieu
0.5258780054	publique
0.5248239523	analyse
0.5236617032	recherche
0.5194006298	travail
0.5164924729	thèse
0.5128754928	politiques
0.5086481172	processus
0.5023849103	afin
0.5016122315	pays
0.5005018908	acteurs
0.4979703049	tant
0.4923997226	politique
0.4850282042	permet
0.4702276032	été
0.4694545042	l’etat
0.4628507223	vis
0.4621294321	droits
0.4613497821	aussi
0.4565268626	réforme
0.4509906617	français
0.4488554277	l'action
0.4477654739	théorie
0.4462227780	internationale
0.4458710677	leurs
0.4450768601	l’analyse
0.4441129315	sud
0.4431430207	leur
0.4426621643	 
0.4425304841	l’étude
0.4424372641	deux
0.4417123648	économiques
0.4408515499	en
0.4408413915	monde
0.4400845428	internationales
0.4393881017	mais
0.4385579672	participation
0.4385063476	ainsi
0.4383515499	au
0.4372346078	nous
0.4361100900	par
0.4358600900	les
0.4358383875	production
0.4346901591	coopération
0.4341430207	une
0.4337424053	pour
0.4324372641	un
0.4316622740	sécurité
0.4313774085	public
0.4303447315	ce
0.4299401761	etats
0.4298600900	le
0.4298550394	ces
0.4297639635	comme
0.4295435733	face
0.4291073909	social
0.4289140013	sur
0.4283850208	entre
0.4282268944	à
0.4281886983	historique
0.4278911323	femmes
0.4277895827	dans
0.4275421463	cette
0.4272971970	la
0.4263514376	des
0.4261053530	transformation
0.4259097510	sociales
0.4249102244	sociologie
0.4247218439	et
0.4238745849	c’est
0.4235737344	démocratique
0.4234364735	conflits
0.4234176806	autour
0.4227090233	de
0.4225602277	que
0.4225215391	a
0.4220640349	conflit
0.4218426806	rapports
0.4204432202	publics
0.4201001509	modèle
0.4198386970	réformes
0.4195609997	d'un
0.4194632946	approche
0.4179686710	sens
0.4175609997	relations
0.4166470300	institutions
0.4162603376	également
0.4156598546	formes
0.4156353376	conditions
0.4147936710	montre
0.4145965436	territoire
0.4145321729	représentation
0.4145321729	mouvements
0.4145321729	d’action
0.4142212616	forme
0.4128996207	sociaux
0.4126575453	régime
0.4121397863	étude
0.4117704174	facteurs
0.4114119196	problème
0.4106756273	puissance
0.4106546434	population
0.4106546434	locaux
0.4106273330	économique
0.4100950532	manière
0.4097111303	changement
0.4090376250	enjeux
0.4086341970	–
0.4083759961	période
0.4083759961	rapport
0.4083389056	sociale
0.4078519946	niveau
0.4072861594	d’une
0.4068360755	dispositifs
0.4067387758	comprendre
0.4053327093	système
0.4046646075	d'une
0.4042597968	discours
0.4034887758	place
0.4031609921	partie
0.4029415401	formation
0.4029415401	groupes
0.4024791185	socio
0.4024791185	logiques
0.4020597968	rôle
0.4020554821	prise
0.4012501686	crise
0.3999945824	temps
0.3998855806	pratique
0.3998855806	relation
0.3982533376	dynamiques
0.3971260639	gestion
0.3969791185	vue
0.3956052198	compte
0.3955415890	propose
0.3951102703	part
0.3944160783	études
0.3941015890	point
0.3941015890	effets
0.3941015890	dynamique
0.3936052198	pratiques
0.3936052198	cas
0.3926170529	nouvelles
0.3916052198	contexte
0.3896052198	pouvoir
0.3838977151	d’un
0.3623895300	selon
0.3605022127	plusieurs
